customer_id,signup_date,home_store,total_lifetime_spend,loyalty_tier
164,2024-12-03,2,47.23,Bronze
165,2024-03-15,3,71.95,Bronze
166,2024-07-25,1,23.19,Bronze
167,2025-07-11,1,29.75,Bronze
168,2025-06-04,3,24.4,Bronze
169,2023-11-12,1,,Bronze
170,2025-06-25,3,7.31,Bronze
171,2024-09-11,4,15.83,Bronze
172,2022-02-06,3,177.63,Bronze
173,2022-05-09,1,458.0,Silver
174,2023-05-02,1,1015.8,Gold
175,2025-10-17,3,124.08,Bronze
176,2025-10-10,1,45.42,Bronze
177,2025-05-16,2,48.6,Bronze
178,2025-04-11,3,2.7,Bronze
179,2024-03-06,3,52.34,Bronze
180,2023-08-01,2,384.7,Silver
181,2022-02-22,4,621.39,Silver
182,2024-10-15,4,90.54,Bronze
183,2024-10-22,1,614.22,Silver
184,2025-04-28,1,41.59,Bronze
185,2023-02-21,4,26.02,Bronze
186,2022-11-17,3,121.38,Bronze
187,2025-03-03,4,539.73,Silver
188,2024-10-30,3,63.59,Bronze
189,2022-06-16,1,663.14,Silver
190,2024-06-19,1,508.04,Silver
191,2025-08-22,1,6.72,bronze
192,2022-01-12,4,115.86,Bronze
193,2023-10-06,1,50.22,bronze
194,2024-08-10,3,143.08,Bronze
195,2025-04-16,1,210.42,Silver
196,2023-08-17,4,208.54,Silver
197,2025-04-21,3,113.99,Bronze
198,2023-05-17,4,96.62,Bronze
199,2022-08-12,4,372.5,Silver
200,2025-06-22,2,7.18,Bronze
201,2024-10-08,4,70.72,Bronze
202,2024-09-03,2,223.98,Silver
203,2022-02-22,1,136.83,Bronze
204,2025-10-03,3,61.47,Bronze
205,2025-04-10,2,7.83,Bronze
206,2024-10-11,4,110.83,Bronze
207,2023-08-02,2,111.82,Bronze
208,2024-12-18,1,110.46,Bronze
209,2024-02-06,2,860.75,Gold
210,2025-07-09,1,138.74,Bronze
211,2023-06-04,4,83.29,Bronze
212,2024-01-29,1,28.11,Bronze
213,2024-07-28,3,200.27,Silver
214,2022-09-15,4,296.1,Silver
215,2024-09-18,3,156.98,Bronze
216,2024-10-02,3,112.61,Bronze
217,2022-10-26,4,346.21,Silver
218,2025-05-09,3,50.92,Bronze
219,2022-02-15,3,1951.79,Gold
220,2025-06-25,1,113.17,Bronze
221,2024-04-17,1,128.64,BRONZE
222,2025-02-21,3,80.87,Bronze
223,2024-12-22,4,24.74,Bronze
224,2023-12-24,4,370.28,Silver
225,2025-03-05,3,8.75,Bronze
226,2022-11-12,4,105.4,Bronze
227,2024-04-10,2,272.39,Silver
228,2022-04-27,4,11.82,Bronze
229,2023-02-24,1,149.92,Bronze
230,2025-01-27,2,,Bronze
231,2022-07-08,1,404.56,Silver
232,2025-09-04,2,26.36,Bronze
233,2025-11-02,4,28.53,Bronze
234,2025-03-14,3,43.81,Bronze
235,2025-07-17,1,84.83,Bronze
236,2024-07-03,2,15.61,Bronze
237,2024-07-01,4,156.39,Bronze
238,2024-08-30,1,39.43,Bronze
239,2025-05-22,4,14.02,Bronze
240,2022-04-16,4,27.01,Bronze
241,2024-03-09,4,575.18,Silver
242,2025-04-22,1,187.59,Bronze
243,2025-07-30,3,159.35,Bronze
244,2025-11-07,1,80.12,Bronze
245,2025-01-28,3,80.28,Bronze
246,2024-03-27,1,514.33,Silver
247,2024-09-24,1,536.88,Silver
248,2025-03-08,2,253.78,Silver
249,2024-02-21,2,163.22,Bronze
250,2022-11-28,3,446.14,Silver
251,2022-05-27,1,138.86,Bronze
252,2025-02-22,3,283.94,Silver
253,2023-12-10,2,437.88,Silver
254,2025-10-24,3,6.49,Bronze
255,2022-01-19,1,1277.71,Gold
256,2024-08-31,1,122.93,Bronze
257,2025-09-12,4,7.85,Bronze
258,2023-03-15,1,356.98,Silver
259,2023-09-16,1,138.91,Bronze
260,2024-05-17,1,714.79,Silver
261,2023-10-09,3,694.85,Silver
262,2024-09-12,1,213.15,Silver
263,2024-02-24,3,58.27,Bronze
264,2022-04-04,1,566.12,Silver
265,2024-03-18,1,29.58,Bronze
266,2022-08-05,1,40.14,Bronze
267,2025-03-03,1,33.8,Bronze
268,2025-01-20,1,3.56,Bronze
269,2022-04-11,1,79.23,Bronze
270,2025-07-18,1,295.63,Silver
271,2024-07-01,3,27.2,Bronze
272,2023-03-31,3,268.44,Silver
273,2023-09-20,1,387.22,Silver
274,2024-07-16,2,274.98,Silver
275,2025-04-01,1,62.62,Bronze
276,2022-06-22,2,4152.24,Platinum
277,2025-10-11,1,38.05,Bronze
278,2022-10-04,1,1093.75,Gold
279,2025-03-29,1,9.25,Bronze
280,2022-03-07,4,918.41,Gold
281,2024-07-15,3,23.94,Bronze
282,2022-05-19,3,496.3,silver
283,2025-10-08,4,5.21,Bronze
284,2025-01-30,3,12.28,Bronze
285,2023-03-06,4,58.37,Bronze
286,2024-02-11,2,66.12,Bronze
287,2023-02-03,1,688.06,Silver
288,2025-08-16,1,62.9,Bronze
289,2025-06-07,1,60.14,Bronze
290,2024-02-11,4,28.54,Bronze
291,2025-06-01,1,67.51,Bronze
292,2023-09-13,3,184.07,Bronze
293,2025-12-06,1,1.42,Bronze
294,2022-01-22,4,184.6,Bronze
295,2025-11-27,3,7.08,Bronze
296,2022-01-25,4,661.29,Silver
297,2024-07-23,3,12.25,Bronze
298,2022-02-22,2,41.82,Bronze
299,2024-09-26,3,185.44,Bronze
300,2023-05-22,2,377.41,Silver
301,2023-03-31,2,184.6,Bronze
302,2024-07-09,2,75.49,Bronze
303,2023-04-13,3,290.84,Silver
304,2022-05-23,1,661.23,Silver
305,2023-02-10,2,142.29,Bronze
306,2023-03-29,2,552.94,Silver
307,2024-11-13,2,3.38,Bronze
308,2022-08-22,1,331.75,Silver
309,2022-01-21,4,911.26,Gold
310,2022-01-14,1,147.9,Bronze
311,2022-08-23,2,357.09,Silver
312,2025-07-30,4,165.27,Bronze
313,2024-10-25,2,11.85,Bronze
314,2022-07-31,1,668.08,Silver
315,2025-05-22,2,17.03,Bronze
316,2024-10-14,1,62.31,Bronze
317,2025-06-21,3,8.48,Bronze
318,2023-02-04,3,967.23,Gold
319,2023-11-30,1,324.17,Silver
320,2025-03-21,1,26.98,Bronze
321,2023-11-30,4,605.36,Silver
322,2025-10-27,3,7.84,Bronze
323,2022-09-10,1,354.97,Silver
324,2023-01-07,1,75.7,Bronze
325,2025-03-24,2,14.88,Bronze
326,2023-02-25,1,202.08,Silver
327,2023-01-11,1,,Bronze
328,2025-12-01,1,4.76,Bronze
329,2025-06-30,4,368.72,Silver
330,2024-05-11,1,117.35,Bronze
331,2024-08-29,3,58.31,Bronze
332,2023-04-10,3,765.29,Gold
333,2024-10-31,3,143.75,Bronze
334,2023-01-13,1,736.94,Silver
335,2023-09-17,1,241.34,Silver
336,2025-03-19,4,4.64,Bronze
337,2022-04-03,1,201.24,SILVER
338,2023-06-19,4,135.79,Bronze
339,2023-04-30,3,30.97,Bronze
340,2024-10-13,3,37.71,Bronze
341,2024-03-12,2,106.89,Bronze
342,2023-01-20,3,271.87,Silver
343,2025-01-08,1,135.62,Bronze
344,2023-06-13,4,216.61,Silver
345,2022-08-10,3,618.53,Silver
346,2023-03-29,4,58.59,Bronze
347,2025-06-22,3,41.0,Bronze
348,2023-11-22,2,164.95,Bronze
349,2022-05-04,4,510.08,Silver
350,2025-11-14,3,4.28,Bronze
351,2022-01-11,2,,Silver
352,2025-08-06,4,137.08,Bronze
353,2022-10-04,3,175.72,Bronze
354,2025-06-30,4,58.92,Bronze
355,2025-11-26,3,22.26,Bronze
356,2022-01-28,1,1420.7,Gold
357,2025-10-15,3,10.61,Bronze
358,2022-06-04,4,127.36,Bronze
359,2024-10-20,4,80.34,Bronze
360,2024-10-10,3,134.64,Bronze
361,2022-12-23,4,39.99,Bronze
362,2023-07-07,3,26.33,Bronze
363,2024-03-17,1,17.76,Bronze
364,2024-03-22,4,632.0,Silver
365,2025-05-29,1,40.06,Bronze
366,2024-06-29,1,117.51,Bronze
367,2024-12-17,3,157.88,Bronze
368,2024-10-25,1,231.91,Silver
369,2022-06-19,3,477.15,Silver
370,2024-03-08,3,70.99,Bronze
371,2022-01-23,1,309.98,Silver
372,2024-10-15,3,158.27,Bronze
373,2024-04-02,3,124.85,Bronze
374,2025-01-10,3,122.07,Bronze
375,2025-03-02,3,26.1,Bronze
376,2025-10-06,1,5.16,Bronze
377,2022-04-15,1,306.41,Silver
378,2024-11-24,1,91.05,Bronze
379,2025-08-15,3,28.65,Bronze
380,2024-05-22,3,31.02,Bronze
381,2024-06-15,1,155.11,Bronze
382,2022-02-18,1,254.57,Silver
383,2023-12-30,1,32.3,Bronze
384,2025-12-11,4,0.29,Bronze
385,2023-09-07,3,96.53,Bronze
386,2023-08-29,2,429.78,Silver
387,2023-02-15,2,307.94,Silver
388,2024-10-10,1,50.93,Bronze
389,2023-11-28,2,638.82,Silver
390,2024-07-09,4,23.97,Bronze
391,2022-10-17,3,727.57,Silver
392,2023-01-25,1,45.44,Bronze
393,2024-06-06,1,501.03,Silver
394,2025-09-12,2,24.4,Bronze
395,2024-01-25,4,1097.96,Gold
396,2022-12-06,1,23.41,Bronze
397,2024-05-19,4,465.05,Silver
398,2024-05-25,1,113.93,Bronze
399,2024-10-22,2,36.59,Bronze
400,2025-08-13,1,4.06,Bronze
401,2022-04-20,1,654.34,Silver
402,2024-01-22,2,195.94,Bronze
403,2025-04-01,1,21.36,Bronze
404,2025-11-21,2,2.69,Bronze
405,2022-09-11,1,13.86,Bronze
406,2024-03-29,4,17.69,Bronze
407,2025-08-25,3,33.47,Bronze
408,2022-09-08,1,2796.23,PLATINUM
409,2023-12-22,3,136.41,Bronze
410,2026-06-01,1,415.61,Silver
411,2022-03-21,3,181.67,Bronze
412,2024-09-19,1,55.93,Bronze
413,2025-10-13,1,7.32,Bronze
414,2023-05-28,2,927.29,Gold
415,2025-12-09,3,6.38,Bronze
416,2023-02-02,4,654.52,SILVER
417,2025-10-01,4,23.5,Bronze
418,2023-10-24,1,56.98,Bronze
419,2024-10-09,4,,Silver
420,2024-10-11,4,104.35,Bronze
421,2022-06-09,3,41.45,Bronze
422,2025-12-25,4,1.51,Bronze
423,2025-05-05,1,5.77,Bronze
424,2022-11-02,4,279.06,Silver
425,2024-05-23,4,121.42,Bronze
426,2024-11-12,2,41.24,Bronze
427,2022-09-02,3,153.99,Bronze
428,2023-01-31,4,295.71,Silver
429,2024-08-02,2,200.82,Silver
430,2022-01-17,1,1770.43,Gold
431,2024-01-06,1,58.91,bronze
432,2025-09-01,3,32.73,Bronze
433,2023-04-07,3,140.9,Bronze
434,2022-07-26,4,127.72,Bronze
435,2023-12-18,3,231.23,Silver
436,2025-05-27,1,144.67,Bronze
437,2025-04-26,3,8.41,Bronze
438,2025-04-02,1,105.63,Bronze
439,2022-06-05,3,176.24,BRONZE
440,2025-08-28,4,240.47,Silver
441,2022-06-03,3,36.38,Bronze
442,2023-05-09,2,69.14,Bronze
443,2022-03-03,4,1690.04,Gold
444,2025-05-29,4,55.4,Bronze
445,2022-02-24,4,501.15,Silver
446,2025-09-10,3,26.36,Bronze
447,2025-12-08,3,0.87,bronze
448,2025-09-13,1,9.52,Bronze
449,2024-12-14,1,75.33,Bronze
450,2023-07-09,2,53.63,Bronze
451,2024-11-28,2,16.28,Bronze
452,2025-05-23,4,342.05,Silver
453,2024-08-09,3,33.42,Bronze
454,2024-06-12,1,135.59,Bronze
455,2025-06-01,2,62.1,Bronze
456,2024-10-08,1,12.03,Bronze
457,2023-09-06,3,35.53,Bronze
458,2025-06-11,3,44.17,Bronze
459,2022-01-30,1,357.56,Silver
460,2024-01-28,3,116.19,Bronze
461,2023-02-27,3,452.38,Silver
462,2024-04-02,3,232.22,Silver
463,2025-05-22,2,179.24,Bronze
464,2022-09-30,4,97.77,Bronze
465,2024-04-30,1,294.35,Silver
466,2025-01-18,1,219.54,Silver
467,2022-12-24,3,75.86,Bronze
468,2025-03-05,4,31.86,Bronze
469,2024-07-16,2,37.69,Bronze
470,2022-01-14,3,884.2,Gold
471,2023-08-11,1,318.23,Silver
472,2024-11-09,3,1.78,Bronze
473,2024-07-14,1,80.67,Bronze
474,2025-09-19,2,28.02,Bronze
475,2025-05-03,1,59.5,Bronze
476,2022-04-10,3,495.17,Silver
477,2023-11-14,2,135.46,Bronze
478,2023-02-20,4,330.92,Silver
479,2023-12-11,4,47.3,Bronze
480,2023-01-19,1,237.19,Silver
481,2025-07-13,2,5.97,Bronze
482,2025-02-26,1,13.87,Bronze
483,2022-01-28,1,40.33,Bronze
484,2022-05-03,3,191.55,Bronze
485,2023-07-31,4,16.16,Bronze
486,2024-02-11,3,250.52,Silver
487,2024-08-17,3,202.15,Silver
488,2022-08-04,2,1538.72,Gold
489,2025-07-18,4,89.01,Bronze
490,2022-04-14,2,579.51,Silver
491,2025-02-13,1,221.47,Silver
492,2022-10-24,2,315.26,Silver
493,2025-01-07,1,75.09,Bronze
494,2024-03-27,1,88.46,Bronze
495,2023-09-08,1,271.41,Silver
496,2025-05-05,3,759.53,Gold
497,2022-02-04,1,3500.46,Platinum
498,2025-03-08,1,210.65,Silver
499,2022-03-28,1,1022.87,Gold
500,2023-04-06,1,117.43,Bronze
501,2025-06-26,1,233.97,Silver
502,2022-10-26,3,291.73,Silver
503,2023-12-30,1,206.29,Silver
504,2024-08-23,4,132.24,Bronze
505,2023-08-13,2,35.72,Bronze
506,2022-02-16,3,1528.15,Gold
507,2022-11-17,4,428.65,Silver
508,2023-11-20,1,234.18,Silver
509,2025-12-05,1,4.58,Bronze
510,2024-08-29,4,279.93,Silver
511,2024-02-29,1,101.57,Bronze
512,2024-08-20,4,305.29,Silver
513,2024-01-04,1,223.94,Silver
514,2025-04-19,4,,Bronze
515,2023-05-10,1,373.41,SILVER
516,2025-11-07,1,30.07,Bronze
517,2025-06-18,3,34.99,Bronze
518,2022-07-17,3,135.66,Bronze
519,2024-06-01,1,,Silver
520,2024-01-24,3,109.59,Bronze
521,2022-10-31,4,,Gold
522,2024-03-21,4,166.85,Bronze
523,2023-05-06,2,145.66,Bronze
524,2022-12-02,1,98.02,Bronze
525,2022-11-01,1,449.01,Silver
526,2024-12-11,1,264.1,Silver
527,2025-04-02,1,352.64,Silver
528,2023-10-13,1,208.0,Silver
529,2023-10-18,1,20.2,Bronze
530,2023-07-30,4,282.62,Silver
531,2024-11-14,1,386.63,Silver
532,2023-06-19,3,175.74,Bronze
533,2024-12-07,3,3.79,Bronze
534,2023-12-08,2,370.08,Silver
535,2023-01-24,1,347.96,Silver
536,2023-05-20,2,262.05,Silver
537,2024-12-16,3,93.36,Bronze
538,2024-06-12,4,387.6,Silver
539,2023-06-09,3,118.76,Bronze
540,2023-12-15,1,356.39,Silver
541,2025-10-15,3,10.89,Bronze
542,2024-10-24,4,172.31,Bronze
543,2024-07-24,1,488.63,Silver
544,2024-04-03,2,110.18,Bronze
545,2025-09-12,2,2.66,Bronze
546,2024-03-12,2,122.15,Bronze
547,2025-03-15,4,34.15,bronze
548,2025-10-01,1,70.43,Bronze
549,2025-04-08,4,170.81,Bronze
550,2024-02-20,1,330.2,Silver
551,2022-05-28,1,6.54,Bronze
552,2022-10-10,2,200.66,Silver
553,2022-03-11,1,108.04,Bronze
554,2025-10-06,4,53.44,Bronze
555,2023-11-25,1,233.92,Silver
556,2025-04-24,3,5.88,Bronze
557,2024-06-15,1,120.25,Bronze
558,2024-07-31,2,100.96,Bronze
559,2023-11-08,4,259.51,Silver
560,2022-01-10,4,424.83,Silver
561,2022-12-02,4,2377.28,Platinum
562,2025-07-14,2,16.2,Bronze
563,2025-09-20,2,46.08,Bronze
564,2025-05-10,3,67.44,Bronze
565,2023-12-10,4,353.63,Silver
566,2025-09-24,1,10.14,Bronze
567,2024-03-17,3,183.59,Bronze
568,2025-09-30,4,,Bronze
569,2022-10-26,4,36.5,BRONZE
570,2025-01-12,1,58.87,Bronze
571,2022-01-15,4,159.86,Bronze
572,2023-12-19,3,387.48,Silver
573,2022-09-23,1,348.65,Silver
574,2022-08-19,3,977.26,Gold
575,2025-11-03,1,14.55,Bronze
576,2025-04-09,3,5.34,Bronze
577,2025-07-19,3,21.79,Bronze
578,2022-07-08,1,19.84,Bronze
579,2022-07-12,3,441.41,Silver
580,2022-08-31,1,88.3,Bronze
581,2022-08-04,3,417.47,Silver
582,2024-07-22,2,25.97,Bronze
583,2025-07-25,4,37.6,Bronze
584,2023-02-04,1,149.36,Bronze
585,2025-09-07,3,3.49,Bronze
586,2024-09-18,3,165.3,Bronze
587,2023-03-09,1,31.1,Bronze
588,2022-12-02,1,297.38,Silver
589,2023-03-13,3,251.2,Silver
590,2025-03-02,2,236.87,Silver
591,2024-04-06,4,18.3,Bronze
592,2025-05-23,3,55.42,Bronze
593,2022-05-02,4,,Bronze
594,2024-02-07,4,76.86,Bronze
595,2025-10-30,4,16.39,Bronze
596,2025-04-25,1,69.9,Bronze
597,2024-04-04,2,6.16,Bronze
598,2024-12-06,3,174.28,Bronze
599,2025-03-26,4,415.37,Silver
600,2022-10-11,3,698.21,Silver
601,2024-12-30,2,33.43,BRONZE
602,2025-04-05,2,154.52,Bronze
603,2022-09-19,1,441.28,Silver
604,2025-08-02,3,3.29,Bronze
605,2024-06-19,2,12.83,Bronze
606,2025-08-27,3,11.54,Bronze
607,2024-07-05,3,,Silver
608,2025-02-09,3,248.01,Silver
609,2022-06-26,1,545.79,Silver
610,2023-02-10,3,36.96,Bronze
611,2025-06-15,2,55.93,Bronze
612,2023-04-29,1,91.12,Bronze
613,2025-09-15,4,103.34,Bronze
614,2024-05-04,3,359.99,SILVER
615,2025-03-19,1,819.64,Gold
616,2024-06-16,2,73.37,Bronze
617,2024-10-31,2,17.48,Bronze
618,2024-08-24,3,62.61,Bronze
619,2025-01-03,4,131.47,Bronze
620,2025-09-02,1,4.71,Bronze
621,2024-10-16,4,201.73,Silver
622,2023-09-16,4,619.33,Silver
623,2023-10-29,4,681.65,Silver
624,2024-12-26,3,25.26,Bronze
625,2022-04-25,3,,Silver
626,2025-11-05,1,3.34,Bronze
627,2024-02-10,4,171.43,Bronze
628,2023-12-23,3,155.29,Bronze
629,2023-03-16,2,69.44,Bronze
630,2024-06-03,3,342.85,Silver
631,2022-02-06,2,1681.27,Gold
632,2025-08-01,2,38.68,Bronze
633,2025-07-31,3,130.35,Bronze
634,2022-10-04,3,134.8,Bronze
635,2022-11-03,4,211.44,Silver
636,2025-09-03,4,39.75,Bronze
637,2024-01-12,4,145.82,Bronze
638,2023-09-15,2,92.26,Bronze
639,2022-04-20,4,248.47,silver
640,2022-04-24,4,176.85,Bronze
641,2022-02-14,4,886.87,Gold
642,2024-12-30,1,25.6,Bronze
643,2023-11-25,1,274.21,Silver
644,2024-04-27,2,215.81,Silver
645,2022-07-19,4,212.41,SILVER
646,2023-01-24,1,40.46,Bronze
647,2022-10-24,4,450.0,Silver
648,2024-05-01,2,73.68,Bronze
649,2024-05-06,1,123.08,Bronze
650,2023-12-12,3,10.38,Bronze
651,2022-10-10,1,307.26,Silver
652,2022-09-21,3,2797.74,Platinum
653,2023-04-11,4,352.38,Silver
654,2023-03-13,3,189.9,Bronze
655,2025-08-08,3,67.05,Bronze
656,2024-07-19,1,25.5,Bronze
657,2025-11-28,1,5.17,Bronze
658,2024-03-21,4,208.53,Silver
659,2025-02-23,3,19.33,Bronze
660,2024-07-28,3,116.21,Bronze
661,2022-02-07,1,48.85,Bronze
662,2024-04-28,1,116.89,Bronze
663,2025-12-15,4,1.83,Bronze
664,2022-11-05,3,536.81,Silver
665,2025-02-19,3,,Bronze
666,2022-09-03,2,109.77,Bronze
667,2022-01-01,1,548.11,Silver
668,2023-02-01,3,562.2,Silver
669,2024-04-10,3,,Bronze
670,2023-05-21,2,1525.63,Gold
671,2024-11-11,4,157.67,Bronze
672,2025-03-10,1,23.77,Bronze
673,2025-09-02,2,44.52,bronze
674,2025-03-19,4,493.5,Silver
675,2025-10-12,2,21.12,Bronze
676,2025-12-02,4,2.08,Bronze
677,2025-03-29,3,56.16,Bronze
678,2025-09-28,1,13.33,Bronze
679,2025-04-02,1,8.3,Bronze
680,2022-01-04,1,456.49,Silver
681,2022-09-26,2,407.66,Silver
682,2025-08-16,3,6.89,Bronze
683,2022-02-17,1,199.39,Bronze
684,2024-12-10,1,323.48,Silver
685,2024-04-01,4,17.43,Bronze
686,2024-02-04,1,1658.01,Gold
687,2024-10-08,1,12.4,Bronze
688,2025-01-24,1,47.81,Bronze
689,2022-02-26,1,130.82,Bronze
690,2023-01-06,3,316.8,Silver
691,2023-12-06,3,52.52,Bronze
692,2024-03-09,2,31.51,Bronze
693,2024-04-18,3,17.04,Bronze
694,2024-06-22,4,157.55,Bronze
695,2025-07-11,3,19.88,Bronze
696,2022-04-18,4,262.38,Silver
697,2025-11-12,1,9.66,Bronze
698,2024-10-19,1,125.78,Bronze
699,2025-01-18,1,0.7,Bronze
700,2025-06-18,4,43.02,Bronze
701,2024-07-05,3,323.7,Silver
702,2025-10-21,1,32.14,Bronze
703,2023-01-04,1,116.74,Bronze
704,2025-08-19,2,63.11,Bronze
705,2024-11-08,1,81.2,Bronze
706,2023-05-28,1,57.35,Bronze
707,2022-07-31,4,17.55,Bronze
708,2024-08-22,4,119.17,Bronze
709,2024-05-16,1,752.56,Gold
710,2025-05-23,2,57.38,Bronze
