po_id,vendor_id,store_id,product_id,order_date,quantity_ordered,total_cost,expected_delivery_date
108,18,3,272,2025-02-20,44,2301.85,2025-02-26
109,38,3,74,2022-11-15,72,2575.47,2022-11-29
110,31,2,323,2025-08-19,95,701.71,2025-08-28
111,29,3,411,2024-04-03,102,1127.02,2024-04-13
112,31,3,428,2025-06-04,72,,2025-06-12
113,34,4,17,2025-09-12,124,279.52,2025-09-21
114,1,3,257,2025-05-11,25,391.31,2025-05-20
115,25,1,241,2023-08-05,6,169.21,2023-08-16
116,49,4,405,2024-06-08,64,,2024-06-18
117,4,2,396,2023-09-27,95,8692.78,2023-10-09
118,35,4,171,2024-10-14,78,7974.74,2024-10-23
119,44,3,463,2023-12-12,89,553.65,2023-12-31
120,13,2,257,2022-07-17,114,1763.96,2022-07-22
121,15,1,223,2024-08-05,44,251.78,2024-08-16
122,4,1,293,2022-10-31,158,12636.58,2022-11-08
123,40,1,26,2024-12-25,25,517.02,2024-12-31
124,20,1,436,2022-06-18,80,2403.59,2022-07-09
125,39,3,227,2022-01-14,57,3254.23,2022-01-20
126,29,4,381,2023-05-20,58,460.98,2023-05-25
127,21,3,89,2025-11-21,117,720.16,2025-12-05
128,25,1,245,2024-10-25,56,632.13,2024-11-06
129,1,2,428,2023-08-30,123,252.42,2023-09-21
130,2,3,97,2022-07-08,33,1620.73,2022-07-12
131,20,1,183,2022-04-14,56,5991.62,2022-04-22
132,32,1,241,2024-12-01,32,875.25,2024-12-06
133,13,1,421,2025-08-19,59,1162.57,2025-08-28
134,25,1,418,2022-01-31,17,182.45,2022-02-10
135,14,1,413,2024-05-19,41,1067.5,2024-05-25
136,39,1,124,2024-12-04,81,16676.78,2024-12-14
137,14,2,367,2023-03-18,47,3720.51,2023-03-24
138,50,1,231,2024-02-13,112,263.06,2024-02-25
139,50,1,55,2025-04-21,82,12349.55,2025-05-03
140,20,2,413,2024-06-06,30,785.16,2024-06-13
141,37,3,57,2023-07-17,45,1103.32,2023-07-28
142,23,3,132,2022-05-09,52,4980.46,2022-05-17
143,14,1,298,2023-12-15,89,1742.2,2023-12-16
144,50,3,121,2023-11-20,63,3287.06,2023-12-12
145,25,3,257,2022-09-25,82,1240.96,2022-10-19
146,47,1,214,2022-04-28,17,296.08,2022-05-19
147,21,4,64,2024-01-17,46,1400.88,2024-01-31
148,4,1,74,2023-05-16,18,641.83,2023-05-28
149,10,1,94,2022-11-14,51,1301.75,2022-11-27
150,40,3,376,2022-06-04,26,842.55,2022-06-22
151,34,3,248,2025-05-25,36,2180.58,2025-06-07
152,36,1,306,2023-06-18,15,189.86,2023-06-25
153,19,3,26,2025-05-08,25,499.11,2025-05-17
154,39,3,322,2022-02-18,60,1404.47,2022-02-27
155,36,4,384,2022-01-05,55,501.09,2022-01-11
156,38,4,137,2025-09-15,56,12048.8,2025-10-08
157,8,2,449,2024-09-14,23,1060.44,2024-09-26
158,16,1,403,2025-12-25,62,2959.18,2025-12-28
159,37,4,283,2023-12-05,124,2338.91,2023-12-16
160,7,3,451,2022-08-24,119,4976.39,2022-08-27
161,3,4,89,2025-10-27,84,512.19,2025-11-28
162,13,3,78,2022-09-02,30,814.56,2022-09-17
163,10,3,97,2023-07-06,23,1193.09,2023-07-17
164,49,4,176,2025-09-30,175,2362.53,2025-10-07
165,22,3,414,2022-05-16,110,11107.54,2022-05-17
166,42,4,207,2023-10-30,15,648.05,2023-11-08
167,49,1,369,2025-07-28,178,2483.56,2025-08-02
168,20,1,420,2023-04-27,36,3557.6,2023-05-01
169,18,1,52,2025-11-11,47,5180.23,2025-11-18
170,42,3,463,2025-12-28,92,565.01,2026-01-09
171,38,4,276,2023-12-14,82,454.64,2023-12-24
172,38,4,340,2023-04-30,99,1235.33,2023-05-12
173,44,4,261,2025-11-27,18,3648.98,2025-12-13
174,12,4,33,2025-12-30,133,1348.56,2026-01-13
175,38,1,133,2023-10-16,46,1158.22,2023-10-27
176,29,3,9,2022-03-22,36,1544.97,2022-03-27
177,14,4,468,2023-10-19,102,22667.63,2023-10-23
178,13,1,399,2024-11-07,123,1293.26,2024-11-15
179,36,2,309,2024-07-14,123,1309.72,2024-07-23
180,35,1,293,2024-09-09,112,9265.5,2024-09-18
181,47,1,124,2025-11-25,34,7465.65,2025-12-12
182,5,4,313,2024-08-28,79,19148.55,2024-09-02
183,9,2,424,2022-05-31,60,2595.77,2022-06-07
184,14,1,268,2024-05-27,74,13846.15,2024-06-12
185,31,4,367,2022-11-10,72,5564.86,2022-11-18
186,21,4,292,2025-03-22,52,2406.69,2025-04-04
187,23,2,171,2023-06-11,32,3540.02,2023-06-16
188,37,1,291,2024-01-06,208,33595.97,2024-01-17
189,38,3,40,2024-10-29,40,3937.4,2024-11-12
190,25,1,32,2022-09-11,20,215.38,2022-09-25
191,6,4,288,2024-06-12,55,414.06,2024-06-22
192,25,1,425,2022-08-25,55,2220.69,2022-09-04
193,38,4,451,2025-05-08,47,1990.53,2025-05-19
194,40,2,292,2023-05-17,37,1628.79,2023-05-20
195,44,4,228,2024-03-25,52,851.54,2024-04-09
196,17,4,283,2025-05-14,28,582.67,2025-05-25
197,50,1,44,2025-11-20,53,12456.59,2025-11-29
198,20,3,251,2023-05-10,16,620.96,2023-05-16
199,48,1,399,2022-05-26,48,515.69,2022-06-09
200,37,4,441,2025-11-12,32,1301.64,2025-12-09
201,18,1,217,2025-12-18,73,12399.48,2025-12-25
202,41,4,246,2025-09-07,81,1040.59,2025-09-18
203,44,3,152,2025-06-11,108,3074.27,2025-07-01
204,5,4,235,2023-12-24,79,174.33,2023-12-29
205,15,1,173,2023-11-20,45,525.99,2023-11-30
206,1,3,485,2024-04-12,47,9568.39,2024-04-20
207,7,2,254,2022-06-20,83,4340.2,2022-06-27
208,28,1,402,2025-08-11,87,4557.31,2025-08-19
209,34,4,231,2024-06-30,110,258.05,2024-07-30
210,47,3,40,2025-12-21,111,,2026-01-08
211,40,3,366,2024-10-12,19,2157.78,2024-10-29
212,7,4,187,2023-06-17,60,611.63,2023-06-24
213,11,4,40,2022-09-13,90,8288.58,2022-09-16
214,28,4,414,2022-03-24,41,4179.9,2022-04-02
215,48,4,250,2023-05-08,74,617.34,2023-05-16
216,21,1,233,2023-06-19,14,620.78,2023-07-01
217,19,4,23,2023-12-05,226,1772.89,2023-12-15
218,6,2,268,2024-08-24,44,8281.88,2024-09-03
219,29,3,167,2022-05-22,45,1410.36,2022-05-30
220,36,1,241,2023-03-25,10,,2023-04-03
221,20,1,131,2022-10-29,68,1516.78,2022-11-03
222,10,3,388,2024-08-15,92,1238.09,2024-08-29
223,22,4,17,2024-05-08,75,173.77,2024-05-09
224,26,4,297,2024-09-25,76,1461.29,2024-10-07
225,34,2,479,2022-11-18,70,1860.07,2022-11-30
226,7,1,205,2022-02-11,34,1940.62,2022-02-16
227,4,4,436,2022-03-13,77,2325.04,2022-03-20
228,48,1,213,2023-11-03,60,9507.65,2023-11-07
229,33,1,176,2025-07-16,97,1228.8,2025-07-20
230,17,1,49,2024-03-13,43,3501.44,2024-03-25
231,5,1,194,2024-02-18,100,4726.5,2024-02-27
232,4,4,55,2024-03-21,31,4785.65,2024-04-14
233,15,1,376,2024-02-01,24,,2024-02-11
234,46,1,124,2025-07-26,41,8709.06,2025-08-09
235,43,4,53,2023-08-26,50,4297.01,2023-08-30
236,11,4,16,2025-04-27,38,427.18,2025-04-30
237,34,3,53,2025-05-16,63,5373.29,2025-05-28
238,28,1,428,2024-06-03,125,249.47,2024-06-09
239,11,1,57,2022-10-21,50,1188.72,2022-10-29
240,15,4,226,2025-02-17,102,3832.34,2025-02-25
241,12,1,463,2022-01-11,124,787.72,2022-01-27
242,48,3,30,2022-04-04,28,950.33,2022-04-08
243,46,1,392,2024-05-14,103,2271.77,2024-05-28
244,23,1,257,2023-01-04,46,713.85,2023-01-09
245,7,2,278,2023-01-28,60,680.3,2023-02-05
246,48,4,51,2022-03-21,60,5090.3,2022-03-28
247,44,1,322,2025-08-08,57,1359.69,2025-09-07
248,40,3,421,2024-04-10,12,246.06,2024-04-13
249,48,3,458,2022-02-14,49,1656.84,2022-02-17
250,9,1,25,2024-05-01,96,22812.66,2024-05-07
251,44,4,178,2024-10-28,49,4970.4,2024-11-14
252,39,1,283,2024-11-14,155,3115.42,2024-11-21
253,39,3,87,2023-10-18,103,11238.98,2023-10-26
254,21,4,470,2023-09-16,162,1025.03,2023-10-02
255,38,1,383,2023-02-20,54,1273.15,2023-03-02
256,3,1,279,2025-10-15,138,13140.25,2025-10-31
257,17,1,466,2025-03-13,52,9390.31,2025-03-26
258,38,1,64,2025-12-21,21,630.75,2026-01-03
259,44,4,384,2025-08-23,168,1536.92,2025-09-10
260,4,1,21,2023-08-22,52,1582.21,2023-09-01
261,1,1,3,2023-10-03,95,1026.08,2023-10-15
262,16,4,160,2024-07-11,62,956.24,2024-07-16
263,31,1,322,2023-05-05,59,1473.31,2023-05-14
264,29,1,74,2022-03-02,48,1734.13,2022-03-07
265,28,2,235,2022-08-31,73,162.94,2022-09-07
266,33,4,75,2024-04-08,60,488.49,2024-04-11
267,21,4,16,2024-03-09,35,428.71,2024-03-22
268,21,2,463,2025-11-24,46,272.84,2025-12-06
269,8,3,398,2024-02-29,38,1084.77,2024-03-13
270,2,3,27,2024-09-04,71,2468.59,2024-09-09
271,14,3,218,2023-02-10,44,137.24,2023-02-14
272,47,4,27,2023-08-04,24,873.5,2023-08-21
273,23,1,164,2022-04-28,141,1275.63,2022-05-06
274,43,3,88,2023-10-14,190,2544.21,2023-10-21
275,38,3,483,2022-10-22,38,1702.31,2022-11-01
276,41,1,32,2022-04-18,48,532.28,2022-05-05
277,13,2,413,2025-03-20,78,2003.74,2025-03-25
278,38,3,232,2022-08-01,14,612.3,2022-08-15
279,26,4,471,2025-08-04,88,1938.18,2025-08-17
280,47,1,206,2022-09-27,29,606.19,2022-10-15
281,8,3,311,2025-04-15,37,300.76,2025-04-27
282,27,2,434,2025-07-15,17,600.79,2025-07-25
283,50,3,40,2022-01-17,46,4250.14,2022-01-28
284,39,3,49,2024-07-03,44,,2024-07-09
285,1,1,87,2025-04-13,53,5794.11,2025-04-24
286,38,2,268,2025-09-20,34,5849.8,2025-10-01
287,39,1,372,2024-05-17,65,997.82,2024-05-24
288,20,3,475,2025-03-04,27,307.35,2025-03-10
289,11,3,336,2024-01-10,86,4517.64,2024-01-14
290,2,4,349,2024-05-11,14,662.28,2024-05-14
291,31,1,269,2022-12-13,43,527.27,2022-12-22
292,4,2,439,2023-09-20,43,1522.28,2023-10-01
293,32,1,340,2024-08-12,68,774.7,2024-08-18
294,7,1,345,2023-03-02,88,184.28,2023-03-10
295,10,2,284,2023-10-06,125,2131.83,2023-10-21
296,4,3,488,2025-10-16,115,3136.05,2025-10-24
297,5,3,286,2022-06-20,77,1148.75,2022-06-24
298,8,1,461,2023-08-14,32,903.34,2023-08-26
299,10,1,435,2025-03-22,100,,2025-04-06
300,21,3,165,2022-06-15,38,433.04,2022-06-27
301,4,2,152,2024-04-05,59,1754.96,2024-04-15
302,46,3,279,2023-06-12,137,13640.8,2023-06-25
303,32,3,5,2024-02-23,34,1058.43,2024-02-28
304,45,3,452,2023-05-11,74,1147.42,2023-05-20
305,5,4,103,2022-05-08,57,12082.55,2022-05-17
306,22,4,453,2025-08-06,51,5212.67,2025-08-08
307,11,4,178,2025-12-10,60,6129.4,2025-12-15
308,18,4,279,2023-09-17,67,6159.26,2023-09-24
309,5,1,18,2024-10-31,46,1781.27,2024-11-06
310,4,1,345,2023-09-10,81,172.26,2023-09-20
311,17,4,334,2025-01-25,76,3472.4,2025-02-03
312,31,4,187,2025-03-27,46,499.14,2025-04-08
313,32,2,384,2023-04-11,61,541.14,2023-04-16
314,46,2,53,2022-03-20,39,3160.97,2022-04-03
315,10,3,94,2025-12-25,11,308.14,2026-01-04
316,44,4,162,2024-10-29,160,2566.87,2024-11-16
317,18,2,246,2024-11-25,91,1156.82,2024-12-18
318,31,1,265,2024-08-14,48,1070.16,2024-08-22
319,6,1,393,2022-04-22,32,947.18,2022-05-05
320,27,1,26,2022-04-03,22,462.9,2022-04-18
321,2,2,94,2023-12-19,13,352.8,2023-12-22
322,2,4,429,2025-04-08,43,1584.88,2025-04-12
323,7,3,284,2025-12-04,24,441.98,2025-12-09
324,15,2,388,2024-05-16,86,1164.09,2024-05-25
325,48,4,235,2022-06-02,91,198.7,2022-06-13
326,31,4,124,2023-06-11,45,9492.66,2023-06-19
327,40,4,178,2025-10-12,54,5341.81,2025-10-20
328,7,2,262,2024-08-20,143,2099.93,2024-08-26
329,17,3,456,2023-09-28,105,1734.65,2023-10-11
330,20,4,87,2025-11-09,84,9408.33,2025-11-13
331,17,2,485,2025-01-09,161,31240.73,2025-01-20
332,23,2,220,2022-08-31,109,3043.94,2022-09-10
333,22,1,367,2022-08-04,87,7047.66,2022-08-05
334,41,1,165,2024-08-19,93,960.46,2024-08-28
335,39,1,215,2025-12-05,15,915.41,2025-12-13
336,3,2,364,2025-04-14,200,2076.74,2025-04-25
337,28,3,302,2024-11-16,40,1982.48,2024-11-26
338,7,4,433,2025-02-06,61,1655.3,2025-02-12
339,29,1,64,2022-08-29,38,1193.13,2022-09-07
340,25,1,463,2023-12-17,83,523.37,2023-12-27
341,37,4,132,2024-06-25,89,8173.43,2024-07-06
342,10,1,399,2022-10-07,92,1013.89,2022-10-17
343,29,2,336,2022-04-05,19,1014.81,2022-04-10
344,17,3,107,2023-01-23,42,4652.18,2023-02-03
345,20,3,198,2025-07-28,96,5137.54,2025-08-04
346,50,1,87,2022-03-16,99,10937.51,2022-03-25
347,43,3,302,2023-03-12,17,915.13,2023-03-18
348,36,3,209,2022-06-03,130,1588.53,2022-06-12
349,33,1,231,2024-09-24,113,250.95,2024-09-27
350,11,3,215,2023-01-05,41,2404.06,2023-01-13
351,1,4,419,2023-12-25,34,87.12,2024-01-04
352,13,1,468,2023-03-24,30,6689.81,2023-03-31
353,5,3,474,2025-07-21,127,2861.22,2025-07-25
354,11,4,192,2024-11-24,61,7256.59,2024-11-30
355,38,1,246,2022-10-20,186,2380.84,2022-11-03
356,9,4,213,2024-07-06,57,8857.53,2024-07-14
357,23,1,273,2022-07-25,54,5399.49,2022-08-01
358,26,4,399,2023-03-27,121,1224.18,2023-04-13
359,37,3,40,2023-06-29,39,3794.38,2023-07-12
360,45,3,109,2023-08-25,18,509.42,2023-09-01
361,17,4,40,2025-10-01,57,5345.12,2025-10-11
362,40,1,192,2022-03-31,86,9533.31,2022-04-07
363,6,3,52,2025-04-12,83,9712.41,2025-04-22
364,29,4,16,2024-07-13,22,243.54,2024-07-20
365,21,1,232,2025-04-26,70,2963.52,2025-05-11
366,8,2,452,2023-01-24,115,1739.22,2023-02-01
367,10,3,336,2022-02-03,55,2923.71,2022-02-16
368,13,4,433,2022-05-12,143,3736.8,2022-05-19
369,16,1,330,2022-05-14,27,1501.89,2022-05-19
370,40,3,350,2022-09-07,35,1856.44,2022-09-13
371,7,3,428,2022-09-14,59,129.78,2022-09-22
372,35,4,485,2024-10-13,52,10029.32,2024-10-25
373,48,2,209,2024-09-08,40,450.39,2024-09-26
374,4,3,458,2022-03-01,49,1601.35,2022-03-08
375,48,2,453,2024-04-19,104,10409.67,2024-04-22
376,50,1,192,2025-09-23,27,3197.21,2025-10-03
377,38,1,236,2024-05-02,51,4767.54,2024-05-16
378,11,2,138,2023-09-24,86,1316.47,2023-09-28
379,34,3,203,2022-08-12,37,7705.46,2022-09-05
380,27,4,1,2024-07-27,83,3795.78,2024-08-10
381,33,3,88,2023-07-28,118,1581.64,2023-07-31
382,23,3,421,2023-04-01,132,2789.83,2023-04-08
383,48,4,6,2022-07-02,64,2146.59,2022-07-07
384,44,2,248,2023-04-03,35,2146.02,2023-04-18
385,30,3,79,2022-09-08,82,1220.28,2022-10-08
386,23,2,7,2023-06-06,34,75.19,2023-06-14
387,20,2,241,2022-10-07,38,1074.76,2022-10-13
388,2,3,400,2024-08-31,19,830.2,2024-09-05
389,44,4,119,2025-05-05,25,1025.5,2025-05-22
390,36,3,345,2025-01-15,55,108.96,2025-01-22
391,24,1,282,2023-09-08,51,2672.29,2023-09-21
392,24,4,398,2022-12-23,13,407.78,2023-01-05
393,40,3,479,2024-04-26,81,2153.33,2024-05-03
394,10,1,268,2025-08-10,48,9003.26,2025-08-23
395,20,2,278,2024-12-20,100,1036.92,2024-12-25
396,46,1,380,2024-10-12,60,1878.72,2024-10-29
397,18,3,205,2023-07-13,74,4370.26,2023-07-22
398,4,1,458,2022-09-18,25,781.61,2022-09-27
399,39,3,87,2022-09-09,86,9607.69,2022-09-17
400,3,1,103,2025-12-23,69,15236.3,2026-01-04
401,7,3,364,2022-08-31,125,1363.77,2022-09-03
402,19,1,68,2025-06-01,37,1650.8,2025-06-10
403,7,1,192,2025-02-22,70,8165.83,2025-03-01
404,12,2,306,2024-04-18,19,261.36,2024-05-04
405,27,1,56,2025-08-29,79,1118.96,2025-09-12
406,31,2,335,2025-09-02,34,217.32,2025-09-09
407,46,3,295,2025-06-14,96,2729.12,2025-06-27
408,49,3,427,2022-08-26,62,478.63,2022-09-05
409,8,4,437,2023-05-11,106,1690.62,2023-05-24
410,4,3,453,2023-12-18,39,4027.85,2023-12-26
411,43,1,183,2023-08-06,75,8346.9,2023-08-13
412,21,3,364,2022-06-12,29,306.99,2022-06-29
413,31,3,297,2025-06-08,38,746.47,2025-06-18
414,44,2,437,2023-03-17,102,1645.94,2023-04-04
415,35,2,279,2023-04-24,17,1585.35,2023-05-03
416,35,2,286,2025-02-20,106,1672.52,2025-03-01
417,19,3,23,2023-05-29,44,347.25,2023-06-06
418,19,4,292,2025-04-19,23,1068.31,2025-04-27
419,11,2,74,2022-07-03,69,2422.28,2022-07-10
420,4,4,64,2025-02-11,69,2075.99,2025-02-20
421,31,1,438,2023-06-30,83,2156.13,2023-07-08
422,38,3,282,2023-02-04,54,3040.06,2023-02-16
423,31,3,419,2024-05-31,104,271.35,2024-06-12
424,6,1,130,2023-04-11,93,16768.03,2023-04-24
425,4,4,97,2024-08-05,14,707.5,2024-08-17
426,22,1,93,2024-11-16,44,1755.82,2024-11-21
427,18,4,38,2025-08-04,110,2312.81,2025-08-09
428,46,4,389,2023-04-28,81,7161.22,2023-05-13
429,49,1,452,2025-09-26,44,699.36,2025-10-03
430,41,4,69,2025-12-13,87,982.35,2025-12-24
431,10,1,82,2024-04-25,28,761.28,2024-05-09
432,33,1,32,2023-07-06,119,1217.6,2023-07-11
433,6,2,132,2025-11-07,51,4703.91,2025-11-28
434,35,4,231,2025-04-08,98,215.38,2025-04-19
435,5,4,396,2024-04-20,104,8799.99,2024-04-27
436,46,4,88,2024-09-21,148,2080.25,2024-10-09
437,34,1,312,2025-05-22,76,3926.07,2025-06-03
438,27,4,174,2023-03-21,77,813.83,2023-04-04
439,40,3,347,2022-07-07,83,4157.53,2022-07-13
440,15,3,309,2024-02-07,104,1197.13,2024-02-14
441,19,4,16,2023-10-20,49,581.94,2023-10-29
442,10,2,136,2022-10-14,40,7196.85,2022-10-26
443,21,2,425,2023-08-20,67,2712.13,2023-09-06
444,24,4,336,2024-01-02,28,1510.37,2024-01-11
445,33,3,354,2023-12-21,15,280.69,2023-12-26
446,17,1,286,2024-04-09,66,1032.48,2024-04-17
447,38,2,187,2024-01-13,74,741.06,2024-01-25
448,15,3,424,2025-05-11,20,924.62,2025-05-21
449,15,2,222,2022-04-05,84,706.84,2022-04-17
450,11,1,471,2025-11-01,53,1159.2,2025-11-07
451,45,4,336,2022-07-02,21,1192.58,2022-07-10
452,28,3,345,2022-03-08,45,92.11,2022-03-19
453,15,3,500,2025-11-08,69,752.1,2025-11-19
454,37,3,283,2025-06-25,148,2905.05,2025-07-08
455,23,3,413,2025-11-07,81,2179.1,2025-12-01
456,44,1,322,2025-12-25,13,321.77,2026-01-13
457,32,4,128,2024-05-21,49,1996.0,2024-05-30
458,5,4,187,2024-03-28,124,1327.11,2024-04-02
459,33,4,188,2023-01-20,57,551.43,2023-01-21
460,13,4,436,2022-07-05,65,1945.6,2022-07-15
461,41,4,112,2025-04-11,58,874.08,2025-04-18
462,29,1,332,2024-10-03,60,1043.03,2024-10-09
463,15,2,425,2022-10-26,31,1324.71,2022-11-07
464,50,1,465,2025-07-31,92,10823.82,2025-08-12
465,48,3,69,2024-02-06,66,,2024-02-09
466,4,3,268,2022-10-16,56,9800.45,2022-10-25
467,10,3,241,2024-01-02,106,2996.4,2024-01-15
468,23,1,498,2022-07-02,107,11884.72,2022-07-11
469,25,4,28,2024-06-12,66,1201.66,2024-06-23
470,15,4,463,2025-04-25,50,321.57,2025-05-05
471,39,4,51,2022-12-20,54,4862.12,2022-12-27
472,38,1,413,2024-04-11,50,1316.57,2024-04-26
473,20,3,16,2022-09-12,14,168.46,2022-09-19
474,9,4,207,2025-03-18,31,1357.21,2025-04-05
475,4,1,198,2023-03-27,88,4818.82,2023-04-06
476,11,2,327,2025-11-21,107,24860.41,2025-11-27
477,9,3,132,2024-04-28,71,6285.21,2024-05-05
478,46,1,437,2023-08-08,73,1176.29,2023-08-23
479,43,4,413,2024-05-05,19,518.02,2024-05-14
480,24,1,170,2022-01-27,35,707.08,2022-02-05
480,24,1,170,2022-01-27,35,707.08,2022-02-05
481,37,2,32,2025-03-27,57,638.9,2025-04-05
482,10,2,417,2024-06-26,78,,2024-07-11
483,40,2,314,2025-08-26,83,2201.49,2025-08-31
484,13,3,231,2025-10-21,80,184.34,2025-10-30
485,41,1,3,2025-04-15,75,851.55,2025-05-10
